iter,x,y,gx,gy,res,status,lambda
0,0.3000000000,0.8000000000,0.000000e+00,0.000000e+00,0.000000e+00,RUNNING,0.010000
1,-5.2923616683,42.1556265965,-2.137394e+00,-2.621218e+00,3.382194e+00,RUNNING,0.100000
2,-6.9455237933,42.7782479987,-1.170592e+01,7.566029e+01,7.656048e+01,RUNNING,1.000000
3,-9.6819814247,42.9177748716,-1.517541e+01,7.658601e+01,7.807502e+01,RUNNING,10.000000
4,-7.9066927323,43.5901362991,-2.187355e+01,8.676938e+01,8.948395e+01,RUNNING,100.000000
5,-8.0709416491,42.7642849870,-1.879121e+01,9.091161e+01,9.283335e+01,RUNNING,10.000000
6,-6.4109782011,43.6607670244,-1.856869e+01,8.497330e+01,8.697849e+01,RUNNING,100.000000
7,-6.7041935333,42.6051790763,-1.581901e+01,8.971362e+01,9.109761e+01,RUNNING,10.000000
8,-4.2420176002,42.5733918437,-1.621880e+01,8.664353e+01,8.814846e+01,RUNNING,1.000000
9,-2.0764739295,42.6887204783,-1.138665e+01,8.497567e+01,8.573518e+01,RUNNING,0.100000
10,-4.0865766378,43.1926513383,-5.271097e+00,7.954630e+01,7.972075e+01,RUNNING,1.000000
11,-6.2230926066,43.3471276102,-9.283528e+00,7.874978e+01,7.929509e+01,RUNNING,10.000000
12,-4.4202591634,44.4964389061,-1.490317e+01,8.553810e+01,8.682667e+01,RUNNING,100.000000
13,-3.8495714790,43.3540734942,-9.864821e+00,8.068004e+01,8.128090e+01,RUNNING,10.000000
14,-0.9582737506,43.4924107156,-1.042374e+01,8.549753e+01,8.613061e+01,RUNNING,1.000000
15,2.5144723528,45.1825454460,-4.409368e+00,8.345708e+01,8.357348e+01,RUNNING,10.000000
16,6.1635856207,40.7774130615,3.433845e+00,8.738320e+01,8.745064e+01,RUNNING,1.000000
17,4.0979486177,40.6124016635,1.132424e+01,8.370032e+01,8.446290e+01,RUNNING,0.100000
18,0.3971440963,41.5231697201,6.914675e+00,8.017032e+01,8.046796e+01,RUNNING,1.000000
19,16.0424773168,140.9685562119,-1.178918e+00,7.905698e+01,7.906577e+01,RUNNING,10.000000
20,14.4169585800,142.9854206279,2.999116e+01,2.764323e+02,2.780545e+02,RUNNING,100.000000
21,15.3491885996,141.3451130564,2.738917e+01,2.899759e+02,2.912666e+02,RUNNING,10.000000
22,12.9141023058,141.4388437882,2.957069e+01,2.920795e+02,2.935726e+02,RUNNING,1.000000
23,10.6765379904,141.2480568692,2.477186e+01,2.910641e+02,2.921163e+02,RUNNING,0.100000
24,7.6530177019,140.9117178709,2.007948e+01,2.862516e+02,2.869550e+02,RUNNING,0.010000
25,12.1273200779,140.6390076560,1.284255e+01,2.742763e+02,2.745768e+02,RUNNING,0.100000
26,14.0224314810,140.8234219285,2.125529e+01,2.651586e+02,2.660092e+02,RUNNING,1.000000
27,4.4031903386,142.5441706008,2.642248e+01,2.829420e+02,2.841731e+02,RUNNING,10.000000
28,2.1728108713,142.7580744682,7.723113e+00,2.851249e+02,2.852295e+02,RUNNING,100.000000
29,0.2707633651,139.4565152141,1.901867e+00,2.805520e+02,2.805584e+02,RUNNING,10.000000
30,-2.1422429453,139.5947780103,-6.365603e-01,2.751356e+02,2.751363e+02,RUNNING,100.000000
31,-7.6906506895,143.7917553529,-5.340709e+00,2.731678e+02,2.732200e+02,RUNNING,1000.000000
32,-7.6335838109,143.5056973245,-1.638796e+01,2.759441e+02,2.764303e+02,RUNNING,100.000000
33,-3.9125226163,146.0650229447,-1.826156e+01,2.906022e+02,2.911754e+02,RUNNING,1000.000000
34,-3.9429362242,145.7724790264,-1.078881e+01,2.919008e+02,2.921001e+02,RUNNING,100.000000
35,-3.2525101353,143.6133425956,-9.714600e+00,2.868696e+02,2.870341e+02,RUNNING,10.000000
36,-0.9776169485,143.8448562821,-9.377886e+00,2.860657e+02,2.862194e+02,RUNNING,100.000000
37,1.1871407721,140.2300223274,-3.575987e+00,2.833190e+02,2.833415e+02,RUNNING,10.000000
38,-0.9227281613,140.4593075001,1.324663e+00,2.775883e+02,2.775914e+02,RUNNING,100.000000
39,-1.4724139193,137.3515261293,-3.995503e+00,2.770571e+02,2.770859e+02,RUNNING,10.000000
40,-4.3431584593,137.5406922159,-4.250046e+00,2.696800e+02,2.697135e+02,RUNNING,100.000000
41,-4.5890320661,135.6384971775,-1.081419e+01,2.716367e+02,2.718519e+02,RUNNING,10.000000
42,-0.8989873436,135.6593315501,-1.171914e+01,2.697600e+02,2.700144e+02,RUNNING,1.000000
43,-3.3129608453,135.8797594845,-2.985418e+00,2.665882e+02,2.666049e+02,RUNNING,10.000000
44,-1.2458235418,136.0358980632,-9.592557e+00,2.709619e+02,2.711317e+02,RUNNING,100.000000
45,-1.6273188271,133.6353625103,-4.613338e+00,2.682234e+02,2.682631e+02,RUNNING,10.000000
46,-4.1801583132,134.1345462312,-4.484218e+00,2.620170e+02,2.620554e+02,RUNNING,100.000000
47,7.3841665683,146.3225306691,-1.112095e+01,2.674487e+02,2.676798e+02,RUNNING,1000.000000
48,7.3435774209,146.0494042301,1.204505e+01,2.833042e+02,2.835602e+02,RUNNING,100.000000
49,2.8808543214,149.1501283859,1.367648e+01,2.953640e+02,2.956805e+02,RUNNING,1000.000000
50,2.9032035769,148.8591226612,4.382667e+00,2.960891e+02,2.961216e+02,RUNNING,100.000000
51,2.9032035769,148.8591226612,4.382667e+00,2.960891e+02,2.961216e+02,RUNNING,100.000000
