iter,x,grad,res,status
0,"[0.3, 0.8]","[-1.9899149724329965, -2.6212181146623736]",3.2909794897791724,
1,"[-0.7177321043727434, 0.9586769474328054]","[-2.64290848771887, -2.6760083289871344]",3.761114974480966,
2,"[0.09806303197213684, 2.0120496981444767]","[-2.5916274297289568, -0.0142940370877076]",2.5916668485783014,
3,"[0.02906488798130033, 1.9398604276395008]","[-0.30225997210803124, -0.09571289880643663]",0.31705212463675275,
4,"[0.013939396584026955, 1.9919478799674486]","[-0.05646898004838419, -0.0026987507072955275]",0.0565334322599021,
5,"[0.007975843134231036, 1.9959389399960885]","[-0.013346947411730703, -0.0002471271174031564]",0.013349235072604757,
6,"[0.005207304593933684, 1.9973944101520769]","[-0.002985315871945504, -3.201645999961755e-05]",0.0029854875496308224,
7,"[0.004076489323646683, 1.99796667284104]","[-0.0005035390735561585, -3.678415684049696e-06]",0.000503552509019406,
8,"[0.0037877760576704622, 1.9981114345777728]","[-3.293908484369723e-05, -1.9792472816249074e-07]",3.29396794844501e-05,
9,"[0.003766030168700702, 1.9981223131965207]","[-1.8701228166051465e-07, -1.0669061190071716e-09]",1.8701532498845767e-07,
10,"[0.0037659052688711384, 1.9981223756502002]","[-6.16973139244692e-12, -3.5083047578154947e-14]",6.169831138302926e-12,CONVERGED
